门店名称,大类名称,子类名称,菜品编码,菜品短编码,菜品名称,规格,出品分量(kg),损耗,物料单位,物料号,物料描述,单位
加拿大一店,素菜,豆面制品,10020047,41047,魔芋丝,整份,,,,4516088,魔芋丝（250G*20包/箱）,
加拿大一店,素菜,豆面制品,10010213,40217,响铃卷,整份,,,,1500855,响铃卷（华生，168G*15盒/箱）,
加拿大一店,素菜,豆面制品,70000662,77330,豆腐泡,整份,,,,4515458,豆腐泡（1.8KG*4包/箱）,
加拿大一店,0,0,10010107,40109,包浆豆腐,整份,,,,4214955,,
加拿大一店,0,0,10010107,1002594,包浆豆腐,份,,,,4214955,,
加拿大一店,素菜,豆面制品,10010017,40017,冻豆腐,整份,,,,4765891,冻豆腐（2.5KG*4包/件）,
加拿大一店,素菜,豆面制品,10010015,40015,鲜豆腐,整份,,,,1500736,滑豆腐（700G*12盒/箱）,
加拿大一店,素菜,豆面制品,10010025,40025,鲜腐竹,整份,,,,1500734,鲜腐竹（LB）,
加拿大一店,素菜,豆面制品,11010086,50089,生面,整份,,,,1500720,阳春面（454G/包）,整份
加拿大一店,素菜,豆面制品,10010312,40521,豆皮,整份,,,,1500726,豆腐丝（丰业，KG）,
加拿大一店,荤菜,丸滑类,9020063,31063,捞派虾滑,整份,,,,4020091,速冻虾滑（越南，DL443厂，1.6KG*6包/件）,份
加拿大一店,小吃甜品,小吃类,70000407,7864,肉汁奶酪薯条,份,,,,1501190,薯条（4.5LB*6包/箱）,份
加拿大一店,小吃甜品,小吃类,70000407,7864,肉汁奶酪薯条,份,,,,1501702,芝士块（2KG*5包/箱）,份
加拿大一店,小吃甜品,小吃类,70000407,7864,肉汁奶酪薯条,份,,,,1501192,薯条蘸酱粉（403G*12包/箱）,份
加拿大一店,小吃甜品,小吃类,11020035,51035,糖蒜,整份,,,,4510251,糖蒜（500G*24包/件）,份
加拿大一店,小吃甜品,小吃类,70000798,77569,爆浆榴莲球,整份,,,,1500710,榴莲球（1KG*10包/箱）,份
加拿大一店,小吃甜品,小吃类,70000838,77743,爆浆红糖糍粑,整份,,,,4516301,爆浆糍粑（300G*12包/箱）,份
加拿大一店,小吃甜品,小吃类,10020093,1001983,酸奶麻花,根,,,,4516300,酸奶麻花（100G*50包/箱）,份
加拿大一店,小吃甜品,小吃类,11010292,50363,捞派酥肉,整份,,,,1500681,去皮五花肉（LB）,份
